Block,total_occurences,sample_occurences
minecraft:tube_coral_fan,172,20
minecraft:tube_coral_wall_fan,108,13
minecraft:brain_coral_fan,151,23
minecraft:brain_coral_wall_fan,52,15
minecraft:cut_red_sandstone_slab,929,23
minecraft:orange_carpet,19847,428
minecraft:magenta_glazed_terracotta,679,34
minecraft:cut_red_sandstone,44837,102
minecraft:chorus_plant,2253,26
minecraft:end_stone,303336,393
minecraft:end_portal,2288,171
minecraft:damaged_anvil,1049,144
minecraft:melon_stem,6972,403
minecraft:end_stone_brick_wall,2909,38
minecraft:mycelium,93457,178
minecraft:red_nether_brick_stairs,17120,72
minecraft:nether_wart_block,50830,83
minecraft:white_glazed_terracotta,7560,71
minecraft:wall_sign,411,22
minecraft:wooden_slab,258999,1086
minecraft:sponge,124481,295
minecraft:blue_banner,32,14
minecraft:yellow_banner,58,10
minecraft:lime_banner,164,6
minecraft:black_banner,94,28
minecraft:gray_banner,35,16
minecraft:magenta_banner,13,6
minecraft:red_banner,150,28
minecraft:purple_banner,3,3
minecraft:orange_banner,11,6
minecraft:lime_stained_glass_pane,19648,146
minecraft:bubble_column,4451,62
minecraft:acacia_fence_gate,7227,101
minecraft:acacia_sign,130,14
minecraft:jungle_sign,50,7
minecraft:black_shulker_box,663237,57
minecraft:nether_quartz_ore,12135,117
minecraft:granite_stairs,2261,48
minecraft:stripped_jungle_log,2596,28
minecraft:granite_slab,3619,49
minecraft:gray_concrete_powder,64211,81
minecraft:magenta_bed,82,23
minecraft:slime_block,7448,178
minecraft:light_gray_shulker_box,996,97
minecraft:polished_granite_slab,8973,68
minecraft:attached_melon_stem,480,24
minecraft:dark_oak_sign,95,27
minecraft:stripped_birch_log,16006,65
minecraft:pink_stained_glass,111681,115
minecraft:magenta_stained_glass,18083,115
minecraft:green_stained_glass,21085,174
minecraft:pink_concrete_powder,4544,16
minecraft:gray_glazed_terracotta,5331,75
minecraft:light_gray_banner,52,20
minecraft:polished_blackstone_slab,9972,97
minecraft:polished_blackstone_stairs,12827,101
minecraft:polished_blackstone,34648,95
minecraft:polished_blackstone_button,2684,113
minecraft:cyan_shulker_box,9819,60
minecraft:magenta_stained_glass_pane,4432,93
minecraft:magenta_concrete,13099,44
minecraft:blue_stained_glass,90751,349
minecraft:sign,43,11
minecraft:dead_bubble_coral_block,606,24
minecraft:blue_ice,4790,29
minecraft:pumpkin_stem,3947,341
minecraft:deepslate_brick_wall,5750,33
minecraft:quartz_bricks,335658,89
minecraft:netherite_block,11604,62
minecraft:waxed_copper_block,11619,39
minecraft:waxed_exposed_copper,1734,17
minecraft:smooth_basalt,20517,36
minecraft:light,1397176,64
minecraft:cracked_deepslate_bricks,3997,14
minecraft:cracked_deepslate_tiles,1096,13
minecraft:polished_blackstone_brick_wall,2164,42
minecraft:target,166,30
minecraft:waxed_cut_copper_stairs,6206,38
minecraft:infested_cracked_stone_bricks,78706,80
minecraft:deepslate_tile_slab,17252,63
minecraft:deepslate_brick_slab,12847,44
minecraft:warped_fence,1484,48
minecraft:polished_deepslate_stairs,5519,57
minecraft:polished_deepslate_slab,3716,59
minecraft:deepslate_bricks,61341,69
minecraft:blackstone,78546,71
minecraft:polished_basalt,16773,49
minecraft:blackstone_slab,12282,53
minecraft:blackstone_stairs,5452,58
minecraft:mangrove_stairs,4452,26
minecraft:stripped_mangrove_log,653,8
minecraft:stripped_mangrove_wood,6012,19
minecraft:mangrove_planks,1841,19
minecraft:mangrove_trapdoor,2468,28
minecraft:mangrove_slab,2213,24
minecraft:mangrove_fence,553,12
minecraft:mangrove_fence_gate,215,6
minecraft:blackstone_wall,4814,48
minecraft:deepslate_tile_stairs,15091,51
minecraft:flowering_azalea_leaves,12488,103
minecraft:prismarine_stairs,7874,33
minecraft:waxed_cut_copper,8698,19
minecraft:calcite,36808,89
minecraft:orange_glazed_terracotta,7681,66
minecraft:cherry_leaves,6432,8
minecraft:amethyst_cluster,336,31
minecraft:water_cauldron,980,100
minecraft:raw_gold_block,7833,42
minecraft:waxed_cut_copper_slab,4537,28
minecraft:raw_copper_block,492,8
minecraft:torchflower,50,5
minecraft:copper_ore,9681,79
minecraft:crimson_fence,921,32
minecraft:crimson_stairs,2380,50
minecraft:chain,20678,280
minecraft:crimson_door,316,23
minecraft:crimson_trapdoor,5125,51
minecraft:potted_crimson_fungus,85,34
minecraft:dirt_path,25523,94
minecraft:void_air,11255,5
minecraft:beehive,6489,84
minecraft:orange_shulker_box,6148,54
minecraft:pink_stained_glass_pane,5171,75
minecraft:warped_door,450,27
minecraft:polished_blackstone_brick_slab,5240,48
minecraft:ochre_froglight,589,27
minecraft:polished_blackstone_bricks,38211,59
minecraft:red_concrete_powder,36307,33
minecraft:stripped_acacia_wood,8393,40
minecraft:polished_blackstone_wall,2428,66
minecraft:tnt,72336,298
minecraft:attached_pumpkin_stem,496,27
minecraft:lime_bed,316,35
minecraft:jigsaw,1004,2
minecraft:infested_mossy_stone_bricks,29261,42
minecraft:purple_shulker_box,437,55
minecraft:magenta_concrete_powder,891,14
minecraft:lime_glazed_terracotta,4991,43
minecraft:dead_brain_coral_block,5002,37
minecraft:blue_concrete_powder,6696,31
minecraft:shulker_box,101,12
minecraft:stripped_acacia_log,6790,38
minecraft:chorus_flower,7005,50
minecraft:structure_block,50940,35
minecraft:acacia_sapling,221,15
minecraft:structure_void,1854,27
minecraft:magenta_wall_banner,155,23
minecraft:dead_horn_coral,22,8
minecraft:chain_command_block,256,19
minecraft:dead_horn_coral_wall_fan,312,10
minecraft:dead_fire_coral_wall_fan,168,10
minecraft:dead_bubble_coral_wall_fan,77,7
minecraft:dead_brain_coral_wall_fan,105,10
minecraft:dead_tube_coral_wall_fan,59,8
minecraft:dead_brain_coral_fan,143,17
minecraft:dead_shrub,3034,41
minecraft:cherry_fence,36,1
minecraft:warped_button,572,36
minecraft:warped_wall_sign,946,56
minecraft:mud_bricks,19861,44
minecraft:warped_trapdoor,4179,75
minecraft:hanging_roots,144,11
minecraft:deepslate_redstone_ore,334,4
minecraft:pointed_dripstone,377,16
minecraft:deepslate_tiles,44567,54
minecraft:deepslate_brick_stairs,9418,46
minecraft:light_gray_candle,192,19
minecraft:yellow_candle,156,19
minecraft:dark_oak_sapling,374,26
minecraft:frosted_ice,37,11
minecraft:tuff,30944,60
minecraft:moss_carpet,6385,56
minecraft:black_candle,191,26
minecraft:candle,717,67
minecraft:blue_candle,63,12
minecraft:polished_blackstone_pressure_plate,793,54
minecraft:warped_planks,21072,68
minecraft:moss_block,138031,75
minecraft:warped_stairs,5860,71
minecraft:shroomlight,5065,71
minecraft:warped_slab,13139,67
minecraft:mangrove_door,177,13
minecraft:polished_blackstone_brick_stairs,9263,56
minecraft:gilded_blackstone,5918,27
